state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Indiana,Orange County,2020-02-16,6.43,,,23.086,,-1.736
Indiana,Orange County,2020-02-17,7.102,,,-2.556,,-8.737
Indiana,Orange County,2020-02-18,3.956,,,-0.628,,0.643
Indiana,Orange County,2020-02-19,10.823,,,6.47,,1.286
Indiana,Orange County,2020-02-20,7.622,,,6.127,,1.941
Indiana,Orange County,2020-02-21,-2.042,,,6.974,,0.635
Indiana,Orange County,2020-02-22,10.302,,,18.572,,-1.319
Indiana,Orange County,2020-02-23,16.718,,,17.455,,
Indiana,Orange County,2020-02-24,2.367,,,-4.473,,4.704
Indiana,Orange County,2020-02-25,1.319,,,-3.138,,-1.929
Indiana,Orange County,2020-02-26,25.027,,,9.058,,
Indiana,Orange County,2020-02-27,-1.27,,,9.191,,1.294
Indiana,Orange County,2020-02-28,7.659,,,10.024,,-3.176
Indiana,Orange County,2020-02-29,12.592,,,17.361,,-2.637
Indiana,Orange County,2020-03-01,23.148,,,27.027,,
Indiana,Orange County,2020-03-02,-5.919,,,5.112,,8.737
Indiana,Orange County,2020-03-03,30.327,,,10.668,,3.858
Indiana,Orange County,2020-03-04,27.056,,,10.999,,4.501
Indiana,Orange County,2020-03-05,,,,16.544,,5.176
Indiana,Orange County,2020-03-06,11.234,,,-0.436,,0.635
Indiana,Orange County,2020-03-07,36.63,,,21.802,,6.593
Indiana,Orange County,2020-03-08,27.006,,,19.144,,6.944
Indiana,Orange County,2020-03-09,11.245,,,5.752,,4.704
Indiana,Orange County,2020-03-10,32.964,,,0.628,,
Indiana,Orange County,2020-03-11,10.823,,,10.352,,3.215
Indiana,Orange County,2020-03-12,12.703,,,7.966,,6.47
Indiana,Orange County,2020-03-13,40.85,,,2.615,,5.081
Indiana,Orange County,2020-03-14,30.907,,,-10.497,,3.956
Indiana,Orange County,2020-03-15,24.434,,,-5.631,,
Indiana,Orange County,2020-03-16,41.43,,,-5.112,,-8.065
Indiana,Orange County,2020-03-17,36.92,,,-14.433,,-14.789
Indiana,Orange County,2020-03-18,17.587,,,-22.645,,-18.004
Indiana,Orange County,2020-03-19,23.501,,,-26.348,,-20.704
Indiana,Orange County,2020-03-20,19.404,,,-36.611,,-30.488
Indiana,Orange County,2020-03-21,-3.434,,,-47.238,,-36.92
Indiana,Orange County,2020-03-22,-11.574,,,-43.919,,-45.139
Indiana,Orange County,2020-03-23,-5.919,,,-30.675,,-24.866
Indiana,Orange County,2020-03-24,-3.956,,,-34.513,,-34.079
Indiana,Orange County,2020-03-25,-25.703,,,-45.29,,-37.937
Indiana,Orange County,2020-03-26,-21.596,,,-39.216,,-42.055
Indiana,Orange County,2020-03-27,-28.595,,,-44.02,,-45.097
Indiana,Orange County,2020-03-28,-17.17,,,-53.698,,-46.15
Indiana,Orange County,2020-03-29,-19.29,,,-42.23,,-46.875
Indiana,Overall,2020-02-16,2.867,34.344,-0.978,8.088,5.483,1.357
Indiana,Overall,2020-02-17,-2.807,-3.843,3.967,4.656,2.257,-12.606
Indiana,Overall,2020-02-18,-1.167,2.974,0.005,0.568,4.183,1.588
Indiana,Overall,2020-02-19,0.106,8.955,-0.091,4.029,5.419,1.657
Indiana,Overall,2020-02-20,-0.541,0.945,0.06,2.997,4.549,1.343
Indiana,Overall,2020-02-21,-1.834,11.704,-0.646,4.419,5.624,1.795
Indiana,Overall,2020-02-22,7.084,69.544,-2.322,13.315,11.939,4.019
Indiana,Overall,2020-02-23,6.239,83.494,-1.456,9.066,7.513,3.483
Indiana,Overall,2020-02-24,-1.579,-8.265,1.043,0.608,0.633,2.039
Indiana,Overall,2020-02-25,2.209,-4.194,0.191,2.372,2.67,1.699
Indiana,Overall,2020-02-26,-2.914,-7.414,1.843,0.532,1.771,-1.4
Indiana,Overall,2020-02-27,2.962,0.145,0.953,6.807,5.83,-0.744
Indiana,Overall,2020-02-28,1.592,7.645,-0.793,7.679,8.586,1.024
Indiana,Overall,2020-02-29,11.038,27.228,-2.719,17.959,15.57,2.01
Indiana,Overall,2020-03-01,12.422,88.159,-2.276,17.605,14.171,3.893
Indiana,Overall,2020-03-02,4.302,6.525,0.177,9.2,4.844,2.069
Indiana,Overall,2020-03-03,10.652,34.849,-1.442,13.803,8.89,2.098
Indiana,Overall,2020-03-04,7.167,41.914,-1.032,13.786,7.727,1.802
Indiana,Overall,2020-03-05,9.097,42.797,-1.056,12.05,7.843,1.921
Indiana,Overall,2020-03-06,-0.342,9.877,-0.252,4.954,7.683,1.473
Indiana,Overall,2020-03-07,12.94,85.572,-3.031,18.326,19.103,4.753
Indiana,Overall,2020-03-08,12.149,160.903,-2.273,15.313,16.806,3.009
Indiana,Overall,2020-03-09,6.475,24.506,0.374,7.121,5.202,0.924
Indiana,Overall,2020-03-10,6.388,14.565,0.308,5.966,5.229,0.003
Indiana,Overall,2020-03-11,9.325,22.389,0.216,8.21,6.117,-0.019
Indiana,Overall,2020-03-12,23.382,31.825,0.577,7.278,4.627,-0.924
Indiana,Overall,2020-03-13,27.318,37.006,1.18,5.083,4.595,-4.358
Indiana,Overall,2020-03-14,15.114,0.738,3.02,-7.404,1.112,-1.001
Indiana,Overall,2020-03-15,11.871,36.643,2.482,-7.045,0.142,-4.945
Indiana,Overall,2020-03-16,26.396,4.278,6.217,-5.286,-3.0,-14.506
Indiana,Overall,2020-03-17,16.316,52.388,8.285,-20.914,-2.642,-20.9
Indiana,Overall,2020-03-18,7.044,-10.497,11.635,-27.162,-8.88,-24.774
Indiana,Overall,2020-03-19,14.53,-4.214,12.8,-27.692,-12.705,-27.156
Indiana,Overall,2020-03-20,8.77,18.604,13.963,-30.235,-14.637,-29.598
Indiana,Overall,2020-03-21,2.581,9.791,9.855,-38.826,-13.411,-22.521
Indiana,Overall,2020-03-22,-15.425,-4.935,9.413,-45.604,-26.491,-29.324
Indiana,Overall,2020-03-23,2.824,6.163,14.397,-29.742,-20.834,-34.591
Indiana,Overall,2020-03-24,-2.328,11.057,16.08,-33.765,-19.293,-39.03
Indiana,Overall,2020-03-25,-19.821,60.78,19.015,-44.806,-23.046,-45.031
