state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
UY,Maldonado Department,2020-02-16,-16.5,-19.54,0.298,-22.139,-19.013,-5.71
UY,Maldonado Department,2020-02-17,-19.293,-46.576,3.381,-25.029,-26.926,-1.114
UY,Maldonado Department,2020-02-18,-19.887,-42.572,2.926,-26.795,-23.45,-0.647
UY,Maldonado Department,2020-02-19,-14.577,-14.003,-0.469,-18.712,-6.745,1.938
UY,Maldonado Department,2020-02-20,-11.346,-34.677,1.166,-22.261,-20.933,1.552
UY,Maldonado Department,2020-02-21,-15.038,-59.314,3.776,-22.02,-26.152,-2.543
UY,Maldonado Department,2020-02-22,-4.226,-23.22,2.619,-9.645,-11.683,-5.197
UY,Maldonado Department,2020-02-23,7.294,-3.305,2.514,5.328,-8.284,-5.71
UY,Maldonado Department,2020-02-24,13.03,51.485,3.868,20.309,12.925,-16.711
UY,Maldonado Department,2020-02-25,0.37,3.364,4.556,0.185,16.313,-17.284
UY,Maldonado Department,2020-02-26,-7.17,-14.432,1.138,-9.906,3.934,-0.185
UY,Maldonado Department,2020-02-27,-14.315,-7.372,0.577,-16.965,-17.278,0.091
UY,Maldonado Department,2020-02-28,-18.952,-33.325,1.195,-20.683,-22.185,
UY,Maldonado Department,2020-02-29,-25.793,-37.893,1.103,-25.805,-30.869,-5.905
UY,Maldonado Department,2020-03-01,-33.92,-46.336,3.821,-39.238,-38.978,-22.994
UY,Maldonado Department,2020-03-02,-27.499,-59.507,1.235,-36.709,-35.389,-2.692
UY,Maldonado Department,2020-03-03,-25.284,-57.065,1.092,-37.735,-32.117,-0.647
UY,Maldonado Department,2020-03-04,-20.487,-50.583,0.369,-33.121,-26.978,0.83
UY,Maldonado Department,2020-03-05,-25.128,-55.974,0.187,-38.956,-34.888,0.73
UY,Maldonado Department,2020-03-06,-26.093,-61.829,-0.875,-33.719,-33.645,0.999
