state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Alaska,Overall,2020-02-16,4.926,29.481,-1.403,15.297,6.446,1.009
Alaska,Overall,2020-02-17,-1.991,9.271,8.45,3.414,-5.782,-33.269
Alaska,Overall,2020-02-18,-2.066,1.164,2.214,-2.459,3.932,-1.986
Alaska,Overall,2020-02-19,-2.002,1.119,1.756,-0.324,4.197,-2.752
Alaska,Overall,2020-02-20,2.781,5.149,-0.277,2.974,1.185,1.742
Alaska,Overall,2020-02-21,-1.672,0.519,0.043,-0.681,5.194,4.904
Alaska,Overall,2020-02-22,2.657,12.935,-0.676,5.371,3.375,4.009
Alaska,Overall,2020-02-23,3.957,16.131,-0.7,11.567,0.859,1.892
Alaska,Overall,2020-02-24,0.958,6.799,-0.196,3.639,3.652,2.765
Alaska,Overall,2020-02-25,-1.033,1.164,0.235,6.423,-1.21,3.089
Alaska,Overall,2020-02-26,5.563,6.712,-0.438,11.673,2.398,2.708
Alaska,Overall,2020-02-27,5.855,13.159,-0.848,9.742,9.479,2.308
Alaska,Overall,2020-02-28,5.273,12.97,-1.787,12.046,8.079,6.398
Alaska,Overall,2020-02-29,8.74,8.623,-1.579,13.183,12.375,5.064
Alaska,Overall,2020-03-01,13.888,6.119,-1.451,18.022,16.329,4.918
Alaska,Overall,2020-03-02,5.972,3.708,0.155,6.04,6.391,0.907
Alaska,Overall,2020-03-03,9.149,-2.328,-0.202,10.937,3.327,3.442
Alaska,Overall,2020-03-04,8.307,3.356,-0.109,11.025,8.094,2.839
Alaska,Overall,2020-03-05,7.026,8.582,-0.335,8.751,3.555,1.524
Alaska,Overall,2020-03-06,4.051,9.857,0.577,9.323,8.656,0.187
Alaska,Overall,2020-03-07,9.999,17.246,-0.961,12.512,9.0,3.482
Alaska,Overall,2020-03-08,7.994,33.931,-1.164,12.657,9.454,2.018
Alaska,Overall,2020-03-09,3.834,13.597,2.154,7.165,3.348,-9.518
Alaska,Overall,2020-03-10,6.198,11.06,2.138,12.589,2.117,-7.369
Alaska,Overall,2020-03-11,9.048,16.221,1.877,11.637,2.698,-7.732
Alaska,Overall,2020-03-12,19.469,21.169,1.835,12.409,-0.592,-8.928
Alaska,Overall,2020-03-13,18.649,15.563,3.054,6.659,-0.289,-9.62
Alaska,Overall,2020-03-14,18.948,37.367,0.769,0.031,1.5,-0.739
Alaska,Overall,2020-03-15,14.454,57.85,0.202,5.448,6.876,-1.261
Alaska,Overall,2020-03-16,19.907,29.049,3.899,1.275,-5.782,-11.875
Alaska,Overall,2020-03-17,8.264,11.642,7.011,-14.387,-12.402,-14.827
Alaska,Overall,2020-03-18,7.787,6.153,9.315,-19.492,-12.291,-21.012
Alaska,Overall,2020-03-19,4.245,14.876,10.394,-26.458,-21.328,-24.65
Alaska,Overall,2020-03-20,2.572,23.345,11.873,-28.235,-24.526,-25.171
Alaska,Overall,2020-03-21,-0.839,1.437,8.214,-37.047,-24.75,-19.73
Alaska,Overall,2020-03-22,-4.36,65.081,5.59,-30.092,-29.651,-21.185
Alaska,Overall,2020-03-23,-10.691,23.486,14.312,-36.239,-36.824,-35.536
Alaska,Overall,2020-03-24,-12.101,17.464,16.199,-37.07,-38.719,-38.7
Alaska,Overall,2020-03-25,-14.537,6.153,17.595,-40.136,-41.669,-41.544
Alaska,Overall,2020-03-26,-12.808,30.896,16.905,-39.585,-42.361,-41.809
Alaska,Overall,2020-03-27,-14.662,2.075,18.709,-42.086,-50.207,-40.162
Alaska,Overall,2020-03-28,-14.613,11.498,11.223,-47.148,-50.25,-30.386
Alaska,Overall,2020-03-29,-26.565,17.8,9.674,-48.323,-55.004,-32.787
