state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Connecticut,Fairfield County,2020-02-16,-6.372,-0.593,-0.243,-0.812,3.244,-0.587
Connecticut,Fairfield County,2020-02-17,2.025,54.784,8.456,10.956,-9.71,-38.663
Connecticut,Fairfield County,2020-02-18,-4.169,-12.342,2.455,-2.294,-1.052,-6.071
Connecticut,Fairfield County,2020-02-19,0.895,20.978,-0.326,1.142,2.534,-0.591
Connecticut,Fairfield County,2020-02-20,-0.891,7.091,0.349,0.785,3.247,0.449
Connecticut,Fairfield County,2020-02-21,-4.998,-1.31,0.838,-1.032,3.334,0.314
Connecticut,Fairfield County,2020-02-22,-1.425,77.666,-1.552,5.012,10.328,4.674
Connecticut,Fairfield County,2020-02-23,-0.334,74.518,-0.815,4.037,18.623,1.585
Connecticut,Fairfield County,2020-02-24,-0.546,45.782,-0.602,2.159,-1.022,3.524
Connecticut,Fairfield County,2020-02-25,-2.593,2.715,-0.007,-1.105,-0.877,2.362
Connecticut,Fairfield County,2020-02-26,1.624,-1.447,-0.233,2.685,0.961,0.41
Connecticut,Fairfield County,2020-02-27,-1.089,11.982,-0.05,1.342,0.598,2.21
Connecticut,Fairfield County,2020-02-28,-0.799,4.149,-0.346,1.235,3.171,2.98
Connecticut,Fairfield County,2020-02-29,0.028,21.253,-1.372,4.957,6.552,2.207
Connecticut,Fairfield County,2020-03-01,4.673,9.883,-0.595,4.951,10.453,2.171
Connecticut,Fairfield County,2020-03-02,5.592,38.066,-0.635,3.956,-0.256,3.319
Connecticut,Fairfield County,2020-03-03,7.977,19.5,-0.555,3.519,0.351,2.428
Connecticut,Fairfield County,2020-03-04,9.648,28.694,-0.807,5.193,-1.573,1.001
Connecticut,Fairfield County,2020-03-05,7.787,36.678,-0.818,5.415,1.025,2.393
Connecticut,Fairfield County,2020-03-06,1.804,1.092,0.98,0.154,0.569,1.237
Connecticut,Fairfield County,2020-03-07,6.924,48.804,-0.772,6.743,1.444,3.332
Connecticut,Fairfield County,2020-03-08,3.277,69.774,0.325,4.195,8.41,0.176
Connecticut,Fairfield County,2020-03-09,5.721,109.825,-0.059,5.528,-5.025,0.992
Connecticut,Fairfield County,2020-03-10,8.01,30.115,0.885,3.254,-8.067,-0.499
Connecticut,Fairfield County,2020-03-11,12.897,35.446,1.538,3.945,-11.885,-4.07
Connecticut,Fairfield County,2020-03-12,35.833,6.847,3.865,0.796,-17.603,-8.775
Connecticut,Fairfield County,2020-03-13,27.003,25.769,9.981,-9.685,-24.639,-20.112
Connecticut,Fairfield County,2020-03-14,13.306,115.187,4.466,-14.606,-19.656,-3.981
Connecticut,Fairfield County,2020-03-15,1.851,73.332,6.253,-20.288,-26.192,-10.739
Connecticut,Fairfield County,2020-03-16,20.698,12.088,12.308,-12.391,-37.135,-30.468
Connecticut,Fairfield County,2020-03-17,8.601,1.728,17.389,-29.062,-41.824,-38.853
Connecticut,Fairfield County,2020-03-18,3.746,51.119,17.145,-30.44,-43.781,-41.096
Connecticut,Fairfield County,2020-03-19,0.396,5.624,21.172,-36.607,-50.93,-44.056
Connecticut,Fairfield County,2020-03-20,7.453,33.63,21.565,-36.87,-52.043,-44.093
Connecticut,Fairfield County,2020-03-21,-0.484,92.097,13.313,-45.268,-48.863,-29.082
Connecticut,Fairfield County,2020-03-22,-17.174,16.01,13.727,-50.826,-58.992,-34.977
Connecticut,Fairfield County,2020-03-23,-29.73,-58.385,26.02,-53.506,-66.861,-54.47
Connecticut,Fairfield County,2020-03-24,-17.531,22.956,24.182,-46.367,-60.589,-55.651
Connecticut,Fairfield County,2020-03-25,-21.649,-26.042,26.116,-50.776,-63.968,-57.622
Connecticut,Fairfield County,2020-03-26,-17.752,54.284,25.193,-46.583,-61.782,-56.737
Connecticut,Fairfield County,2020-03-27,-18.367,54.813,26.236,-47.646,-63.834,-54.846
Connecticut,Fairfield County,2020-03-28,-24.361,-13.906,18.313,-57.396,-66.076,-41.416
Connecticut,Fairfield County,2020-03-29,-36.775,-62.46,17.967,-64.02,-74.851,-45.951
Connecticut,Hartford County,2020-02-16,-6.929,-9.549,-0.391,6.89,1.663,0.733
Connecticut,Hartford County,2020-02-17,-3.12,26.882,6.126,9.216,-5.271,-28.253
Connecticut,Hartford County,2020-02-18,-7.589,-17.361,3.536,-1.57,-0.778,-9.125
Connecticut,Hartford County,2020-02-19,-0.715,10.417,0.161,2.334,4.797,1.106
Connecticut,Hartford County,2020-02-20,-1.556,0.725,0.126,0.623,1.989,2.356
Connecticut,Hartford County,2020-02-21,-5.239,0.675,0.488,-0.042,0.949,1.522
Connecticut,Hartford County,2020-02-22,-3.579,90.339,-1.462,10.574,8.426,1.735
Connecticut,Hartford County,2020-02-23,-1.46,84.852,-1.227,8.403,11.878,3.078
Connecticut,Hartford County,2020-02-24,1.736,60.225,-0.736,4.033,6.024,3.488
Connecticut,Hartford County,2020-02-25,-1.206,9.047,0.073,2.79,2.42,2.819
Connecticut,Hartford County,2020-02-26,2.336,2.422,-0.465,7.866,3.512,1.386
Connecticut,Hartford County,2020-02-27,1.256,-0.967,-0.185,4.296,3.232,2.302
Connecticut,Hartford County,2020-02-28,-1.328,-2.475,-0.419,5.098,5.537,1.804
Connecticut,Hartford County,2020-02-29,-1.789,29.499,-1.669,11.074,7.267,2.452
Connecticut,Hartford County,2020-03-01,3.106,-13.021,-1.15,15.364,8.789,3.176
Connecticut,Hartford County,2020-03-02,6.944,32.827,-0.916,9.226,3.096,3.669
Connecticut,Hartford County,2020-03-03,11.206,26.164,-0.942,7.688,5.705,3.514
Connecticut,Hartford County,2020-03-04,9.73,26.163,-0.556,8.157,5.14,1.906
Connecticut,Hartford County,2020-03-05,9.693,29.727,-1.188,7.471,3.232,3.561
